INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Ход в игре-2022-11-19 06:05:03.674133-884857325-Дарья-[1, '⭕', 3, 4, '❌', 6, 7, '❌', 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:04.620173-884857325-Дарья-[1, '⭕', '⭕', 4, '❌', 6, 7, '❌', 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:05.847061-884857325-Дарья-[1, '⭕', '⭕', 4, '❌', '❌', 7, '❌', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:07.617102-884857325-Дарья-[1, '⭕', '⭕', 4, '❌', '❌', 7, '❌', '⭕', 9, 6, '❌']
INFO:root:Конец игры-2022-11-19 06:05:09.361852-884857325-Дарья-[1, '⭕', '⭕', '❌', '❌', '❌', 7, '❌', '⭕', '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:10.144989-884857325-Дарья-[1, 2, 3, 4, 5, 6, '❌', 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:11.690134-884857325-Дарья-['⭕', 2, 3, 4, 5, 6, '❌', 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:14.688812-884857325-Дарья-['⭕', 2, 3, '❌', 5, 6, '❌', 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:15.896788-884857325-Дарья-['⭕', '⭕', 3, '❌', 5, 6, '❌', 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:16.458490-884857325-Дарья-['⭕', '⭕', '❌', '❌', 5, 6, '❌', 8, 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:17.686633-884857325-Дарья-['⭕', '⭕', '❌', '❌', '⭕', 6, '❌', 8, 9, 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 06:05:19.616288-884857325-Дарья-['⭕', '⭕', '❌', '❌', '⭕', 6, '❌', '❌', 9, 9, 7, '⭕']
INFO:root:Ход в игре-2022-11-19 06:05:20.638561-884857325-Дарья-['⭕', '⭕', '❌', '❌', '⭕', '⭕', '❌', '❌', 9, 9, 8, '❌']
INFO:root:Конец игры-2022-11-19 06:05:21.751553-884857325-Дарья-['⭕', '⭕', '❌', '❌', '⭕', '⭕', '❌', '❌', '❌', '❌', 9, '❌']
